Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
142,32,1,3,28,2,25,1,3.125,9.375,87.5,6.25,9.375,66.51234567901236,3.780864197530864,24.112654320987644
304,44,0,0,44,4,39,1,0.0,0.0,100.0,9.090909090909092,0.0,77.87610619469027,3.781174577634755,22.123893805309734
93,23,3,7,13,0,12,1,13.043478260869565,30.434782608695652,56.52173913043478,0.0,30.434782608695652,34.682658670664665,0.0,34.88255872063968
3703,3681,3322,19,340,87,248,5,90.24721543058952,0.5161640858462374,9.236620483564248,2.363488182559087,0.5161640858462374,0.0,0.03970816706722102,99.48383591415376
4187,4104,3143,47,914,466,447,1,76.58382066276803,1.145224171539961,22.27095516569201,11.354775828460038,0.8922730754185444,11.056789904309209,8.150728610922096,88.05093702027224
4559,3951,2975,55,921,261,605,55,75.29739306504682,1.3920526449000252,23.31055429005315,6.605922551252847,0.5812418340892144,11.598842578341438,3.6329495782798746,87.81991558756934
428,187,1,0,186,91,83,12,0.5347593582887701,0.0,99.46524064171123,48.663101604278076,0.0,59.84259913227727,44.8895166986177,40.15740086772273
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
187,116,4,3,109,52,33,24,3.4482758620689653,2.586206896551724,93.96551724137932,44.827586206896555,2.586206896551724,62.536945812807886,39.11330049261084,34.876847290640384
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2,0,0,2,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
27684,27577,24535,314,2728,496,1994,238,88.96906842658737,1.1386300177684303,9.892301555644197,1.7986002828443992,0.9165722827573275,1.182703726875383,0.0,97.90072399036728
19989,19744,18123,98,1523,401,1094,28,91.78991085899514,0.49635332252836306,7.713735818476499,2.030996758508914,0.31941436646820387,0.0,0.025688589827109087,99.68058563353179
12130,12107,10523,128,1456,271,1123,62,86.91665978359627,1.0572396134467663,12.026100602956967,2.2383744940943258,0.2947539100537049,1.160679329605843,0.0,98.54456676034046
20,18,0,0,18,6,0,12,0.0,0.0,100.0,33.333333333333336,0.0,0.0,33.333333333333336,100.0
257,208,0,0,208,122,79,7,0.0,0.0,100.0,58.65384615384615,0.0,67.816091954023,55.205570291777185,32.183908045977006
308,57,2,2,53,5,35,13,3.508771929824561,3.508771929824561,92.98245614035088,8.771929824561404,3.508771929824561,65.07547939616484,7.609139126886985,31.4157486740106
37254,37047,34094,254,2699,687,1884,128,92.02904418711367,0.6856155694118282,7.285340243474505,1.8544011660863229,0.3102698562549732,0.0,0.33326327592433147,99.68973014374502
2665,2662,2390,32,240,50,175,15,89.78211870773855,1.2021036814425243,9.015777610818933,1.8782870022539444,1.2021036814425243,0.36287692252001413,0.0,98.43501939603746
21897,21809,20177,55,1577,305,1223,49,92.51685084139575,0.25218946306570683,7.230959695538539,1.3985052042734651,0.15056344680554423,0.0,0.0,99.84943655319445
3533,3477,2595,34,848,282,557,9,74.63330457290768,0.9778544722461893,24.38884095484613,8.11044003451251,0.9778544722461893,12.726765656407196,3.6108991713352836,86.29537987134661
4484,4348,3367,23,958,184,773,1,77.43790248390064,0.5289788408463661,22.03311867525299,4.231830726770929,0.46616477049460747,10.663771941584647,1.8448960534040952,88.87006328792074
4162,4114,3637,3,474,166,304,4,88.40544482255712,0.07292173067574137,11.521633446767137,4.035002430724356,0.07292173067574137,0.7360972871661389,1.1671720067842064,99.19098098215812
916,705,479,0,226,106,118,2,67.94326241134752,0.0,32.05673758865248,15.035460992907801,0.0,17.986385829858513,10.135963505470615,82.0136141701415
604,515,432,1,82,49,32,1,83.88349514563107,0.1941747572815534,15.922330097087379,9.514563106796116,0.0,6.691560866318149,7.9761015683345775,93.30843913368184
854,494,286,0,208,190,18,0,57.89473684210526,0.0,42.10526315789474,38.46153846153846,0.0,29.778606763441736,33.68495910868792,70.22139323655827
1167,1028,831,0,197,130,65,2,80.83657587548637,0.0,19.163424124513618,12.645914396887159,0.0,5.773110734200229,9.79691154788431,94.22688926579977
