pegRNA_idx,total,unaligned,extracted,recombination
232,2866.0,95.0,2603.0,168.0
233,35675.0,1180.0,32935.0,1560.0
234,446.0,21.0,60.0,365.0
235,2.0,0.0,0.0,2.0
236,164.0,13.0,2.0,149.0
237,9731.0,288.0,8961.0,482.0
238,442.0,17.0,414.0,11.0
239,909.0,33.0,748.0,128.0
240,299.0,10.0,13.0,276.0
241,3117.0,136.0,2423.0,558.0
242,98.0,5.0,90.0,3.0
243,0.0,0.0,0.0,0.0
244,460.0,25.0,227.0,208.0
245,200.0,1.0,15.0,184.0
246,15936.0,493.0,14625.0,818.0
247,344.0,8.0,334.0,2.0
248,2540.0,89.0,2140.0,311.0
249,3023.0,49.0,2746.0,228.0
250,1464.0,34.0,1363.0,67.0
251,3800.0,88.0,3546.0,166.0
252,34.0,1.0,2.0,31.0
253,30.0,0.0,0.0,30.0
254,1032.0,24.0,11.0,997.0
255,618.0,62.0,29.0,527.0
256,203.0,14.0,21.0,168.0
257,222.0,3.0,40.0,179.0
258,7.0,0.0,4.0,3.0
259,340.0,15.0,17.0,308.0
260,191.0,37.0,82.0,72.0
261,3021.0,192.0,2365.0,464.0
262,401.0,36.0,343.0,22.0
263,428.0,25.0,226.0,177.0
264,28368.0,568.0,26989.0,811.0
265,6223.0,191.0,5935.0,97.0
266,10.0,0.0,9.0,1.0
267,330.0,17.0,18.0,295.0
268,400.0,36.0,99.0,265.0
269,2827.0,480.0,1587.0,760.0
270,562.0,84.0,421.0,57.0
271,46.0,1.0,43.0,2.0
272,11157.0,509.0,10292.0,356.0
273,2565.0,193.0,2341.0,31.0
274,13525.0,399.0,12295.0,831.0
275,3585.0,143.0,3248.0,194.0
276,3067.0,226.0,2303.0,538.0
277,1528.0,126.0,1185.0,217.0
278,128.0,13.0,109.0,6.0
279,1865.0,28.0,260.0,1577.0
280,65.0,3.0,17.0,45.0
281,1293.0,22.0,215.0,1056.0
282,1253.0,37.0,200.0,1016.0
283,74.0,4.0,27.0,43.0
284,1662.0,71.0,312.0,1279.0
285,1210.0,33.0,145.0,1032.0
286,62.0,4.0,21.0,37.0
287,1371.0,23.0,180.0,1168.0
288,93.0,4.0,34.0,55.0
289,1376.0,24.0,356.0,996.0
290,1164.0,29.0,162.0,973.0
291,22.0,0.0,22.0,0.0
292,1.0,0.0,1.0,0.0
293,91.0,3.0,72.0,16.0
294,170.0,1.0,48.0,121.0
295,316.0,6.0,20.0,290.0
296,1093.0,15.0,233.0,845.0
297,957.0,14.0,138.0,805.0
298,1169.0,23.0,151.0,995.0
299,59.0,1.0,25.0,33.0
300,18.0,1.0,17.0,0.0
301,173.0,6.0,128.0,39.0
302,657.0,14.0,259.0,384.0
303,2.0,0.0,2.0,0.0
304,60.0,2.0,12.0,46.0
305,908.0,25.0,191.0,692.0
306,11.0,0.0,11.0,0.0
307,3.0,0.0,3.0,0.0
308,147.0,9.0,98.0,40.0
309,83.0,0.0,32.0,51.0
310,113.0,1.0,36.0,76.0
311,20.0,0.0,19.0,1.0
312,7.0,0.0,2.0,5.0
313,219.0,9.0,46.0,164.0
314,6.0,1.0,2.0,3.0
315,1031.0,15.0,210.0,806.0
316,384.0,25.0,113.0,246.0
317,729.0,15.0,97.0,617.0
318,258.0,20.0,59.0,179.0
319,30.0,2.0,8.0,20.0
320,39.0,2.0,30.0,7.0
321,1.0,0.0,1.0,0.0
322,649.0,36.0,149.0,464.0
323,43.0,0.0,6.0,37.0
324,480.0,23.0,84.0,373.0
325,894.0,22.0,206.0,666.0
326,44.0,0.0,14.0,30.0
327,218.0,1.0,22.0,195.0
328,737.0,34.0,152.0,551.0
329,173.0,5.0,24.0,144.0
330,46.0,10.0,17.0,19.0
331,786.0,72.0,37.0,677.0
332,117.0,17.0,23.0,77.0
333,670.0,33.0,161.0,476.0
334,54.0,4.0,41.0,9.0
335,24.0,1.0,23.0,0.0
336,736.0,55.0,225.0,456.0
337,103.0,20.0,66.0,17.0
338,20.0,3.0,17.0,0.0
339,849.0,104.0,445.0,300.0
340,88.0,16.0,63.0,9.0
341,18.0,1.0,17.0,0.0
342,1360.0,200.0,778.0,382.0
343,15.0,0.0,11.0,4.0
344,22.0,1.0,4.0,17.0
345,1422.0,17.0,163.0,1242.0
346,556.0,40.0,7.0,509.0
347,444.0,5.0,19.0,420.0
348,210.0,1.0,30.0,179.0
349,14.0,2.0,0.0,12.0
350,440.0,3.0,114.0,323.0
351,51.0,1.0,1.0,49.0
352,230.0,2.0,1.0,227.0
353,96.0,0.0,1.0,95.0
354,15.0,3.0,8.0,4.0
355,35.0,4.0,0.0,31.0
356,23.0,1.0,13.0,9.0
357,7.0,0.0,0.0,7.0
358,420.0,12.0,19.0,389.0
359,191.0,3.0,0.0,188.0
360,93.0,2.0,0.0,91.0
361,173.0,1.0,41.0,131.0
362,370.0,7.0,22.0,341.0
363,168.0,1.0,47.0,120.0
364,329.0,6.0,48.0,275.0
365,27.0,0.0,0.0,27.0
366,541.0,82.0,11.0,448.0
367,375.0,52.0,2.0,321.0
368,124.0,22.0,43.0,59.0
369,394.0,4.0,18.0,372.0
370,335.0,2.0,10.0,323.0
371,147.0,3.0,20.0,124.0
372,1677.0,110.0,10.0,1557.0
373,56.0,3.0,36.0,17.0
374,26.0,4.0,7.0,15.0
375,4.0,0.0,4.0,0.0
376,13.0,2.0,11.0,0.0
377,551.0,57.0,75.0,419.0
378,945.0,61.0,471.0,413.0
379,9699.0,890.0,8749.0,60.0
380,2086.0,209.0,1863.0,14.0
381,1802.0,237.0,1538.0,27.0
382,28666.0,2166.0,25396.0,1104.0
383,336.0,31.0,305.0,0.0
384,6738.0,379.0,6336.0,23.0
385,7345.0,679.0,6359.0,307.0
386,1202.0,90.0,1104.0,8.0
387,34002.0,2366.0,30952.0,684.0
388,29.0,2.0,1.0,26.0
389,5.0,0.0,4.0,1.0
390,529.0,5.0,118.0,406.0
391,2733.0,107.0,172.0,2454.0
392,175.0,9.0,28.0,138.0
393,136.0,34.0,2.0,100.0
394,8.0,0.0,4.0,4.0
395,0.0,0.0,0.0,0.0
396,18.0,2.0,9.0,7.0
397,519.0,8.0,116.0,395.0
398,0.0,0.0,0.0,0.0
399,705.0,13.0,65.0,627.0
400,90.0,6.0,33.0,51.0
401,0.0,0.0,0.0,0.0
402,675.0,17.0,70.0,588.0
403,73.0,5.0,36.0,32.0
404,0.0,0.0,0.0,0.0
405,817.0,12.0,42.0,763.0
406,450.0,54.0,124.0,272.0
407,1186.0,21.0,66.0,1099.0
408,1099.0,161.0,211.0,727.0
409,692.0,10.0,72.0,610.0
410,451.0,16.0,8.0,427.0
411,1016.0,116.0,254.0,646.0
412,294.0,0.0,32.0,262.0
413,327.0,24.0,79.0,224.0
414,411.0,6.0,11.0,394.0
415,491.0,11.0,9.0,471.0
416,2.0,0.0,0.0,2.0
417,143.0,1.0,30.0,112.0
418,5682.0,241.0,5134.0,307.0
419,7982.0,215.0,7167.0,600.0
420,3209.0,61.0,2914.0,234.0
421,1866.0,61.0,1559.0,246.0
422,2148.0,57.0,2032.0,59.0
423,4178.0,197.0,3733.0,248.0
424,3371.0,163.0,2955.0,253.0
425,2025.0,247.0,1438.0,340.0
426,1340.0,167.0,709.0,464.0
427,4529.0,132.0,4267.0,130.0
428,2615.0,68.0,2346.0,201.0
429,394.0,95.0,80.0,219.0
430,5.0,0.0,4.0,1.0
431,3192.0,87.0,2991.0,114.0
432,211.0,4.0,23.0,184.0
433,10525.0,221.0,9695.0,609.0
434,7071.0,245.0,6373.0,453.0
435,6844.0,111.0,6526.0,207.0
436,898.0,11.0,86.0,801.0
437,728.0,20.0,293.0,415.0
438,441.0,6.0,124.0,311.0
439,507.0,179.0,65.0,263.0
440,718.0,18.0,117.0,583.0
441,1021.0,14.0,18.0,989.0
442,593.0,9.0,31.0,553.0
443,789.0,37.0,452.0,300.0
444,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0
447,1493.0,21.0,388.0,1084.0
448,1634.0,6.0,34.0,1594.0
449,1441.0,37.0,10.0,1394.0
450,1283.0,107.0,120.0,1056.0
451,336.0,6.0,32.0,298.0
452,314.0,3.0,2.0,309.0
453,1127.0,47.0,280.0,800.0
454,2926.0,77.0,2077.0,772.0
455,3599.0,172.0,3114.0,313.0
456,2008.0,60.0,1826.0,122.0
457,7762.0,604.0,6366.0,792.0
458,20235.0,688.0,17912.0,1635.0
459,1410.0,17.0,388.0,1005.0
460,480.0,45.0,5.0,430.0
461,711.0,10.0,129.0,572.0
462,23099.0,633.0,20783.0,1683.0
463,5421.0,174.0,4379.0,868.0
464,4548.0,91.0,4122.0,335.0
465,3495.0,85.0,3288.0,122.0
466,3326.0,1805.0,1260.0,261.0
467,4647.0,1488.0,2732.0,427.0
468,7001.0,5922.0,390.0,689.0
469,8987.0,6908.0,839.0,1240.0
470,3563.0,1210.0,1855.0,498.0
471,2022.0,1063.0,682.0,277.0
472,6.0,0.0,2.0,4.0
473,1443.0,56.0,1343.0,44.0
474,2822.0,91.0,2613.0,118.0
475,4385.0,1105.0,2770.0,510.0
476,8545.0,5677.0,1632.0,1236.0
477,32.0,2.0,1.0,29.0
478,3612.0,1004.0,2042.0,566.0
479,0.0,0.0,0.0,0.0
480,23.0,1.0,5.0,17.0
481,5651.0,303.0,5152.0,196.0
482,10.0,0.0,0.0,10.0
483,11.0,0.0,11.0,0.0
484,5860.0,3626.0,951.0,1283.0
485,3264.0,763.0,2188.0,313.0
486,391.0,23.0,184.0,184.0
487,73.0,10.0,1.0,62.0
488,2271.0,475.0,1401.0,395.0
489,3406.0,66.0,3095.0,245.0
490,450.0,34.0,378.0,38.0
491,2678.0,77.0,2510.0,91.0
492,11.0,0.0,2.0,9.0
493,0.0,0.0,0.0,0.0
494,14.0,0.0,0.0,14.0
495,21.0,0.0,3.0,18.0
496,15841.0,315.0,14646.0,880.0
497,12936.0,308.0,12119.0,509.0
498,14558.0,406.0,13732.0,420.0
499,13990.0,369.0,13292.0,329.0
500,30563.0,796.0,28296.0,1471.0
501,14597.0,303.0,13996.0,298.0
502,4614.0,185.0,3696.0,733.0
503,3226.0,121.0,2775.0,330.0
504,5041.0,210.0,3901.0,930.0
505,5471.0,201.0,4906.0,364.0
506,4198.0,132.0,3653.0,413.0
507,6649.0,278.0,5392.0,979.0
508,3829.0,114.0,3110.0,605.0
509,3335.0,151.0,2812.0,372.0
510,3542.0,114.0,3130.0,298.0
511,39156.0,1123.0,36334.0,1699.0
512,32923.0,899.0,31085.0,939.0
513,2469.0,65.0,2326.0,78.0
514,3136.0,89.0,2985.0,62.0
515,27266.0,975.0,25256.0,1035.0
516,27834.0,731.0,26222.0,881.0
517,33794.0,647.0,32149.0,998.0
518,32009.0,659.0,29884.0,1466.0
519,30509.0,406.0,29220.0,883.0
520,24192.0,616.0,22831.0,745.0
521,31312.0,814.0,29422.0,1076.0
522,30393.0,685.0,28459.0,1249.0
523,148.0,2.0,19.0,127.0
524,127.0,2.0,0.0,125.0
525,498.0,28.0,8.0,462.0
526,321.0,1.0,8.0,312.0
527,2062.0,50.0,1981.0,31.0
528,3565.0,92.0,2867.0,606.0
529,2055.0,60.0,1931.0,64.0
530,6027.0,350.0,4758.0,919.0
531,2447.0,154.0,1871.0,422.0
532,3776.0,103.0,2941.0,732.0
533,0.0,0.0,0.0,0.0
534,1876.0,46.0,44.0,1786.0
535,1893.0,117.0,116.0,1660.0
536,270.0,16.0,2.0,252.0
537,910.0,4.0,3.0,903.0
538,70.0,0.0,0.0,70.0
539,729.0,13.0,67.0,649.0
540,118.0,3.0,44.0,71.0
541,1025.0,14.0,38.0,973.0
542,1739.0,77.0,190.0,1472.0
543,174.0,2.0,40.0,132.0
544,127.0,2.0,40.0,85.0
545,210.0,25.0,52.0,133.0
546,280.0,1.0,13.0,266.0
547,87.0,7.0,0.0,80.0
548,360.0,11.0,1.0,348.0
549,551.0,15.0,183.0,353.0
550,821.0,29.0,357.0,435.0
551,0.0,0.0,0.0,0.0
552,1415.0,65.0,1233.0,117.0
553,260.0,4.0,1.0,255.0
554,7175.0,297.0,5970.0,908.0
555,802.0,87.0,98.0,617.0
556,1029.0,20.0,93.0,916.0
557,4301.0,127.0,3224.0,950.0
558,490.0,10.0,15.0,465.0
559,33580.0,813.0,31546.0,1221.0
560,24665.0,644.0,22437.0,1584.0
561,656.0,8.0,34.0,614.0
562,3327.0,222.0,2096.0,1009.0
563,1431.0,32.0,269.0,1130.0
564,14091.0,361.0,12940.0,790.0
565,23.0,0.0,9.0,14.0
566,52311.0,1221.0,50029.0,1061.0
567,51567.0,1880.0,48428.0,1259.0
568,1.0,0.0,1.0,0.0
569,41177.0,1426.0,38550.0,1201.0
570,476.0,12.0,132.0,332.0
571,0.0,0.0,0.0,0.0
572,244.0,3.0,2.0,239.0
573,155.0,9.0,13.0,133.0
574,3.0,0.0,1.0,2.0
575,388.0,6.0,24.0,358.0
576,247.0,8.0,14.0,225.0
577,8850.0,476.0,7706.0,668.0
578,276.0,17.0,252.0,7.0
579,746.0,38.0,446.0,262.0
580,3878.0,78.0,3536.0,264.0
581,6696.0,366.0,6011.0,319.0
582,6198.0,129.0,5879.0,190.0
583,98.0,4.0,89.0,5.0
584,2029.0,54.0,1486.0,489.0
585,2213.0,76.0,1990.0,147.0
586,1783.0,64.0,1476.0,243.0
587,1606.0,63.0,1473.0,70.0
588,432.0,17.0,182.0,233.0
589,5923.0,101.0,5491.0,331.0
590,2860.0,49.0,2577.0,234.0
591,4263.0,113.0,3867.0,283.0
592,13258.0,410.0,11790.0,1058.0
593,13120.0,384.0,12119.0,617.0
594,9977.0,308.0,9092.0,577.0
595,5640.0,136.0,5055.0,449.0
596,5832.0,205.0,5114.0,513.0
597,8112.0,201.0,7186.0,725.0
598,1497.0,17.0,417.0,1063.0
599,649.0,6.0,234.0,409.0
600,67.0,5.0,38.0,24.0
601,738.0,45.0,99.0,594.0
602,133.0,0.0,72.0,61.0
603,1011.0,9.0,236.0,766.0
