pegRNA_idx,total,unaligned,extracted,recombination
231,33834.0,540.0,27955.0,5339.0
232,777.0,17.0,655.0,105.0
233,30293.0,453.0,29037.0,803.0
234,16.0,2.0,0.0,14.0
235,0.0,0.0,0.0,0.0
236,6.0,2.0,3.0,1.0
237,6535.0,138.0,5262.0,1135.0
238,63.0,0.0,61.0,2.0
239,125.0,0.0,116.0,9.0
240,3.0,0.0,2.0,1.0
241,656.0,33.0,611.0,12.0
242,12.0,0.0,12.0,0.0
243,0.0,0.0,0.0,0.0
244,34.0,1.0,31.0,2.0
245,6.0,1.0,2.0,3.0
246,4042.0,61.0,3875.0,106.0
247,41.0,0.0,41.0,0.0
248,550.0,14.0,505.0,31.0
249,197.0,5.0,187.0,5.0
250,289.0,7.0,268.0,14.0
251,455.0,15.0,409.0,31.0
252,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0
254,909.0,18.0,14.0,877.0
255,5.0,0.0,3.0,2.0
256,1.0,0.0,1.0,0.0
257,1.0,0.0,0.0,1.0
258,1.0,0.0,1.0,0.0
259,429.0,8.0,13.0,408.0
260,5.0,0.0,2.0,3.0
261,1307.0,54.0,783.0,470.0
262,96.0,10.0,82.0,4.0
263,16.0,3.0,12.0,1.0
264,14215.0,275.0,13558.0,382.0
265,1963.0,46.0,1880.0,37.0
266,1.0,0.0,1.0,0.0
267,11.0,0.0,9.0,2.0
268,58.0,8.0,46.0,4.0
269,905.0,122.0,699.0,84.0
270,32.0,4.0,27.0,1.0
271,3.0,0.0,3.0,0.0
272,3696.0,81.0,3527.0,88.0
273,600.0,39.0,544.0,17.0
274,4255.0,142.0,3941.0,172.0
275,597.0,53.0,524.0,20.0
276,415.0,30.0,283.0,102.0
277,161.0,8.0,77.0,76.0
278,23.0,1.0,22.0,0.0
279,27.0,0.0,13.0,14.0
280,4.0,0.0,2.0,2.0
281,9.0,1.0,2.0,6.0
282,82.0,3.0,18.0,61.0
283,23.0,1.0,16.0,6.0
284,433.0,5.0,378.0,50.0
285,40.0,2.0,31.0,7.0
286,0.0,0.0,0.0,0.0
287,193.0,2.0,12.0,179.0
288,14.0,0.0,9.0,5.0
289,4506.0,58.0,105.0,4343.0
290,5002.0,62.0,150.0,4790.0
291,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0
293,11.0,1.0,10.0,0.0
294,1.0,0.0,0.0,1.0
295,1.0,0.0,1.0,0.0
296,40.0,1.0,29.0,10.0
297,62.0,5.0,39.0,18.0
298,28.0,5.0,17.0,6.0
299,6.0,0.0,2.0,4.0
300,3.0,0.0,3.0,0.0
301,21.0,2.0,13.0,6.0
302,601.0,25.0,335.0,241.0
