peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_28153,1027,986,872,6,108,19,89,0,88.43813387423936,0.6085192697768763,10.953346855983773,1.9269776876267748
peg_28154,2145,2127,1766,12,349,64,283,2,83.02773859896568,0.5641748942172073,16.408086506817114,3.0089327691584393
peg_28155,2533,2512,2114,36,362,93,267,2,84.15605095541402,1.4331210191082802,14.410828025477707,3.7022292993630574
peg_28156,5225,5204,4430,65,709,44,626,39,85.12682551883167,1.2490392006149116,13.624135280553421,0.8455034588777863
peg_28157,419,416,357,7,52,5,47,0,85.8173076923077,1.6826923076923077,12.5,1.2019230769230769
peg_28158,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28159,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28160,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28161,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28162,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28163,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28164,38,30,0,0,30,0,0,30,0.0,0.0,100.0,0.0
peg_28165,1,1,0,0,1,0,1,0,0.0,0.0,100.0,0.0
peg_28166,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28167,222,3,0,0,3,1,2,0,0.0,0.0,100.0,33.333333333333336
peg_28168,45,2,0,0,2,0,0,2,0.0,0.0,100.0,0.0
peg_28169,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28170,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28171,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28172,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28173,57,1,0,0,1,0,0,1,0.0,0.0,100.0,0.0
peg_28174,119,117,0,0,117,0,0,117,0.0,0.0,100.0,0.0
peg_28175,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28176,1006,993,410,0,583,6,255,322,41.289023162134946,0.0,58.710976837865054,0.6042296072507553
peg_28177,23,23,0,0,23,10,13,0,0.0,0.0,100.0,43.47826086956522
peg_28178,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28179,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28180,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28181,4,4,4,0,0,0,0,0,100.0,0.0,0.0,0.0
peg_28182,932,928,793,16,119,36,82,1,85.45258620689656,1.7241379310344827,12.823275862068966,3.8793103448275863
peg_28183,1429,1410,1236,22,152,63,89,0,87.65957446808511,1.5602836879432624,10.78014184397163,4.468085106382978
peg_28184,35,32,3,0,29,0,29,0,9.375,0.0,90.625,0.0
peg_28185,554,542,475,8,59,14,43,2,87.63837638376384,1.4760147601476015,10.885608856088561,2.5830258302583027
peg_28186,790,766,649,16,101,14,87,0,84.72584856396867,2.088772845953003,13.18537859007833,1.8276762402088773
peg_28187,255,253,213,2,38,3,35,0,84.18972332015811,0.7905138339920948,15.019762845849803,1.1857707509881423
peg_28188,98,89,1,0,88,18,17,53,1.1235955056179776,0.0,98.87640449438203,20.224719101123597
peg_28189,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
