Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
10234,10228,9202,310,716,26,682,8,89.96871333594055,3.0308955807587017,7.000391083300743,0.25420414548298786,2.9487937745189643,0.0,0.0,97.05120622548104
19807,18363,16138,1080,1145,122,1007,16,87.88324347873441,5.881391929423297,6.235364591842291,0.6643794586941132,5.738262158430931,0.0,0.0,94.26173784156907
1051,1051,993,5,53,25,28,0,94.48144624167459,0.47573739295908657,5.042816365366318,2.378686964795433,0.47573739295908657,0.0,0.07321146047266636,99.52426260704091
620,604,488,21,95,10,85,0,80.79470198675497,3.4768211920529803,15.728476821192054,1.6556291390728477,3.4768211920529803,0.0,0.0,96.52317880794702
3262,2996,159,16,2821,73,2724,24,5.307076101468625,0.5340453938584779,94.1588785046729,2.4365821094793056,0.5340453938584779,69.48169055632283,0.0,29.98426404981869
670,648,500,17,131,58,66,7,77.1604938271605,2.623456790123457,20.21604938271605,8.950617283950617,2.623456790123457,0.0,2.775660165597272,97.37654320987654
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
90,24,0,0,24,13,0,11,0.0,0.0,100.0,54.166666666666664,0.0,0.0,54.166666666666664,100.0
4,4,0,0,4,0,0,4,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
1,1,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
10,10,0,0,10,0,0,10,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
4,4,0,0,4,0,0,4,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
5,3,0,0,3,1,0,2,0.0,0.0,100.0,33.333333333333336,0.0,100.0,33.333333333333336,0.0
12,8,0,0,8,0,0,8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
9,6,0,0,6,6,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
139,43,0,0,43,2,0,41,0.0,0.0,100.0,4.651162790697675,0.0,0.0,0.0,100.0
9534,2883,4,36,2843,298,141,2404,0.1387443635102324,1.2486992715920915,98.61255636489767,10.336455081512314,0.4911235140163339,75.12770788004919,4.275849020906254,24.381168605934477
2005,622,1,80,541,124,33,384,0.1607717041800643,12.861736334405144,86.97749196141478,19.935691318327976,12.861736334405144,65.98983764042714,17.46655551585884,21.14842602516771
1183,763,1,10,752,93,23,636,0.1310615989515072,1.3106159895150722,98.55832241153342,12.18872870249017,1.3106159895150722,76.43442860622369,6.878994189215834,22.25495540426124
376,241,2,32,207,25,68,114,0.8298755186721992,13.278008298755188,85.89211618257261,10.37344398340249,13.278008298755188,64.05303572280249,4.626317546620881,22.668955978442327
2075,1988,1361,59,568,105,448,15,68.46076458752515,2.9678068410462775,28.571428571428573,5.28169014084507,2.9678068410462775,18.734093172513006,2.957910125353204,78.29809998644072
3577,3387,1737,192,1458,826,566,66,51.28432240921169,5.66873339238264,43.04694419840567,24.38736344847948,5.415782296261224,31.83277893702287,21.183316230941536,62.75143876671591
4740,3352,1616,640,1096,36,977,83,48.21002386634845,19.09307875894988,32.69689737470167,1.0739856801909309,18.28226794813907,20.985185662989956,0.0,60.73254638887097
5004,1421,3,9,1409,184,363,862,0.211118930330753,0.633356790992259,99.15552427867699,12.94862772695285,0.0,59.53288276924303,9.175042821292472,40.46711723075697
60,15,0,0,15,7,0,8,0.0,0.0,100.0,46.666666666666664,0.0,100.0,46.666666666666664,0.0
2529,1707,3,21,1683,476,527,680,0.1757469244288225,1.2302284710017575,98.59402460456943,27.885178676039835,1.2302284710017575,67.165453175998,22.17089296175412,31.604318353000252
218,119,0,0,119,56,0,63,0.0,0.0,100.0,47.05882352941177,0.0,100.0,47.05882352941177,0.0
4,3,0,0,3,3,0,0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0
39634,39353,29333,3987,6033,1101,4702,230,74.53815465148782,10.131374990470865,15.330470358041318,2.797753665540111,9.909317255459763,6.6208725292725035,0.6511955604327833,83.46981021526773
21963,21839,18823,932,2084,262,1713,109,86.18984385731947,4.267594670085627,9.5425614725949,1.1996886304317964,4.090655714025468,0.10581714938640552,0.0,95.80352713658813
8687,8637,6872,307,1458,62,1267,129,79.56466365636216,3.554474933425958,16.880861410211878,0.7178418432326039,2.791989230032897,6.015440136860754,0.0,91.19257063310636
18,15,0,0,15,5,0,10,0.0,0.0,100.0,33.333333333333336,0.0,0.0,33.333333333333336,100.0
375,274,1,13,260,82,13,165,0.36496350364963503,4.744525547445256,94.8905109489051,29.927007299270073,4.744525547445256,62.70660290292809,26.47873143720111,32.548871549626654
5996,3076,2,57,3017,446,323,2248,0.06501950585175553,1.8530559167750325,98.08192457737321,14.499349804941483,1.8530559167750325,70.17494783318716,13.336559107267064,27.971996250037805
28713,28485,22764,1247,4474,194,4158,122,79.91574512901528,4.377742671581534,15.706512199403194,0.6810602071265578,4.002396958424679,8.337883199008093,0.0,87.65971984256723
644,642,549,9,84,6,73,5,85.51401869158879,1.4018691588785046,13.08411214953271,0.9345794392523364,1.4018691588785046,4.431211461233792,0.0,94.1669193798877
13153,12919,11311,407,1201,198,767,236,87.55321619320381,3.150398637665454,9.296385169130737,1.5326263642696802,3.0487726214052913,0.6581737870169153,0.0,96.29305359157779
3939,3785,2338,257,1190,368,752,70,61.77014531043593,6.7899603698811095,31.43989431968296,9.722589167767504,6.7899603698811095,19.777819021244024,5.223048304590277,73.43222060887487
2441,2418,1416,170,832,47,761,24,58.56079404466501,7.030603804797353,34.40860215053763,1.943755169561621,6.967789734445595,23.03925541686929,0.0,69.99295484868512
