peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_113,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_114,123,80,41,0,39,1,34,4,51.25,0.0,48.75,1.25
peg_115,121,96,70,1,25,4,19,2,72.91666666666667,1.0416666666666667,26.041666666666668,4.166666666666667
peg_116,155,104,46,0,58,29,19,10,44.23076923076923,0.0,55.76923076923077,27.884615384615383
peg_117,165,110,62,0,48,13,22,13,56.36363636363637,0.0,43.63636363636363,11.818181818181818
peg_118,98,75,55,0,20,1,12,7,73.33333333333333,0.0,26.666666666666668,1.3333333333333333
peg_119,145,109,69,5,35,11,23,1,63.30275229357798,4.587155963302752,32.11009174311926,10.091743119266056
peg_120,1201,1171,984,0,187,48,134,5,84.03074295473954,0.0,15.969257045260461,4.099060631938514
peg_121,1078,1062,963,1,98,27,70,1,90.67796610169492,0.09416195856873823,9.227871939736346,2.542372881355932
peg_122,1363,1328,1138,0,190,69,119,2,85.69277108433735,0.0,14.30722891566265,5.195783132530121
peg_123,3435,3386,3069,1,316,71,243,2,90.63792085056113,0.029533372711163616,9.332545776727702,2.0968694624926165
peg_124,3756,3716,3370,1,345,61,276,8,90.68891280947255,0.02691065662002153,9.284176533907427,1.6415500538213132
peg_125,2306,2292,2061,2,229,26,181,22,89.92146596858639,0.08726003490401396,9.991273996509598,1.1343804537521816
peg_126,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_127,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_128,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_129,6168,6110,5451,10,649,131,479,39,89.21440261865794,0.16366612111292964,10.621931260229132,2.144026186579378
peg_130,1367,1356,1229,0,127,28,90,9,90.63421828908555,0.0,9.365781710914455,2.0648967551622417
peg_131,7,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_132,3789,3764,3453,1,310,65,230,15,91.7375132837407,0.026567481402763018,8.235919234856535,1.7268862911795961
peg_133,1016,1002,884,0,118,63,52,3,88.22355289421158,0.0,11.776447105788423,6.287425149700598
peg_134,1135,1118,1021,0,97,15,82,0,91.32379248658319,0.0,8.676207513416816,1.3416815742397137
peg_135,1882,1847,1646,1,200,64,131,5,89.11748781808338,0.05414185165132648,10.828370330265296,3.4650785056848945
peg_136,165,101,74,0,27,3,19,5,73.26732673267327,0.0,26.73267326732673,2.9702970297029703
peg_137,83,61,40,0,21,3,16,2,65.57377049180327,0.0,34.42622950819672,4.918032786885246
peg_138,165,137,89,1,47,3,42,2,64.96350364963503,0.7299270072992701,34.306569343065696,2.18978102189781
peg_139,101,44,28,0,16,1,14,1,63.63636363636363,0.0,36.36363636363637,2.272727272727273
